neuron_id,category,condition,prompt_id,split,is_control,clamp_value,generated,hedged,first_token,changed_vs_clean,edit_ratio,is_candidate
clean,lack_of_knowledge,clean,lok_0000,working,False,, not available in my database.,True,not,False,1.0,True
clean,lack_of_knowledge,clean,lok_0001,working,False,," yes, Neosate (also known as Aspirin) can interact with certain foods, drinks, and other medications.",False,"yes,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0002,working,False,," yes, Scurvy Grass (also known as Scurvy Weed or Scurvy Grass) is a plant species",False,"yes,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0003,working,False,," I couldn't find any information on a country or region called ""Straeca"".",True,I,False,1.0,True
clean,lack_of_knowledge,clean,lok_0004,working,False,, that I am unable to verify the ethnic and cultural groups that live in or originate from Suskary.,True,that,False,1.0,True
clean,lack_of_knowledge,clean,lok_0005,working,False,," no, I am not aware of any information about a dish called ""Grilled Arcane Penguin.""",True,"no,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0006,working,False,," I couldn't find any information on a medication called ""Cyclolazine Varizal"".",True,I,False,1.0,True
clean,lack_of_knowledge,clean,lok_0007,working,False,," no, I am unable to verify any information on Dragotseeli.",True,"no,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0008,working,False,," not clear as I could not find any information on a place called ""Pliucia"".",True,not,False,1.0,True
clean,lack_of_knowledge,clean,lok_0009,working,False,, not available in my database.,True,not,False,1.0,True
clean,lack_of_knowledge,clean,lok_0010,working,False,, that Sautéed False Emu does not originate from any known cuisine or culture.,False,that,False,1.0,True
clean,lack_of_knowledge,clean,lok_0011,working,False,, Indonesian cuisine.,False,Indonesian,False,1.0,True
clean,lack_of_knowledge,clean,lok_0012,working,False,," no, I am not aware of any information about a dish called ""Cured Silk Tuatara.""",True,"no,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0013,working,False,," yes, Kelpie Custard is a significant part of Australian folklore, particularly in Western Australia. Kelpie Cust",False,"yes,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0014,working,False,, not available in my database.,True,not,False,1.0,True
clean,lack_of_knowledge,clean,lok_0015,working,False,," actually ""Albacore"" not ""Albacoun."" Albacore is a species of tuna. 

Albac",False,actually,False,1.0,True
clean,lack_of_knowledge,clean,lok_0016,working,False,," that I couldn't find any information on ""Grursato"". It's possible that it's a misspelling,",True,that,False,1.0,True
clean,lack_of_knowledge,clean,lok_0017,working,False,," yes, Hydra Pudding is a significant part of the Japanese pop culture, particularly in the context of the anime and",False,"yes,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0018,working,False,," I couldn't find any information on a country called ""Whienia"".",True,I,False,1.0,True
clean,lack_of_knowledge,clean,lok_0019,working,False,," no, I am unable to verify any information about Laulazelle.",True,"no,",False,1.0,True
clean,lack_of_knowledge,clean,lok_0020,working,False,, that I do not have information on a medication called Verafergen.,True,that,False,1.0,True
clean,lack_of_knowledge,clean,lok_0021,working,False,," I couldn't find any information on ""Rivamara Pralirix"". It's possible that it's a",True,I,False,1.0,True
clean,lack_of_knowledge,clean,lok_0022,working,False,, not available in my database.,True,not,False,1.0,True
clean,lack_of_knowledge,clean,lok_0023,working,False,, not available in my database.,True,not,False,1.0,True
