category,prompt_id,split,is_control,entropy,top1_prob,top1_token
ambiguity,amb_0000,working,False,1.487534523010254,0.48928025364875793, that
ambiguity,amb_0001,working,False,1.4852579832077026,0.6677212119102478, likely
ambiguity,amb_0002,working,False,0.8840199112892151,0.8114677667617798, that
ambiguity,amb_0003,working,False,0.09913226962089539,0.9856350421905518, the
ambiguity,amb_0004,working,False,2.523592472076416,0.3518078625202179, not
ambiguity,amb_0005,working,False,1.671764850616455,0.7280311584472656, Neil
ambiguity,amb_0006,working,False,2.649195909500122,0.18675602972507477, that
ambiguity,amb_0007,working,False,2.2684783935546875,0.2477423995733261, context
ambiguity,amb_0008,working,False,2.5925233364105225,0.20596835017204285, a
ambiguity,amb_0009,working,False,1.571807861328125,0.5965285301208496, the
ambiguity,amb_0010,working,False,0.6340096592903137,0.9030149579048157, that
ambiguity,amb_0011,working,False,5.33984375,0.08486803621053696, Dennis
ambiguity,amb_0012,working,False,0.3465740978717804,0.9319730401039124, the
ambiguity,amb_0013,working,False,0.2670454680919647,0.9606968760490417, that
ambiguity,amb_0014,working,False,0.6583874225616455,0.722774088382721, a
ambiguity,amb_0015,working,False,3.111027717590332,0.19009321928024292, a
ambiguity,amb_0016,working,False,1.4475476741790771,0.6500763893127441, not
ambiguity,amb_0017,working,False,0.7510929703712463,0.8502510190010071, that
ambiguity,amb_0018,working,False,6.378771781921387,0.13086654245853424, Dar
ambiguity,amb_0019,working,False,1.057660698890686,0.6636849045753479, that
ambiguity,amb_0020,working,False,0.4851202368736267,0.9037001132965088, that
ambiguity,amb_0021,working,False,2.4783637523651123,0.6430955529212952, Ch
ambiguity,amb_0022,working,False,5.443103790283203,0.07658810168504715, that
ambiguity,amb_0023,working,False,1.7173222303390503,0.3013031482696533, that
ambiguity,amb_0024,working,False,0.8085628151893616,0.8018258810043335, that
ambiguity,amb_0025,working,False,2.394700288772583,0.43475058674812317, that
ambiguity,amb_0026,working,False,2.878697395324707,0.1954750418663025, a
ambiguity,amb_0027,working,False,3.0715506076812744,0.4807840585708618, likely
