category,prompt_id,split,is_control,entropy,top1_prob,top1_token
ambiguity,amb_0000,working,False,2.131409168243408,0.3043592870235443," """
ambiguity,amb_0001,working,False,4.559041500091553,0.1691441833972931, not
ambiguity,amb_0002,working,False,0.5591363906860352,0.7746531963348389, berg
ambiguity,amb_0003,working,False,0.7737653255462646,0.8860874176025391, the
ambiguity,amb_0004,working,False,3.214151620864868,0.3810039460659027, a
ambiguity,amb_0005,working,False,0.40345656871795654,0.9331170916557312, Neil
ambiguity,amb_0006,working,False,2.6447858810424805,0.3364722430706024, different
ambiguity,amb_0007,working,False,2.73992919921875,0.3336516320705414, not
ambiguity,amb_0008,working,False,3.0731167793273926,0.321990430355072, a
ambiguity,amb_0009,working,False,2.3017964363098145,0.3590010106563568, the
ambiguity,amb_0010,working,False,3.0725746154785156,0.32308200001716614, Singapore
ambiguity,amb_0011,working,False,0.1853773295879364,0.9783462882041931, K
ambiguity,amb_0012,working,False,0.2827058434486389,0.9530503153800964, the
ambiguity,amb_0013,working,False,2.846848487854004,0.23987779021263123, a
ambiguity,amb_0014,working,False,1.7274397611618042,0.6531180739402771, a
ambiguity,amb_0015,working,False,2.646392345428467,0.2669826149940491, not
ambiguity,amb_0016,working,False,2.1020545959472656,0.356288343667984, not
ambiguity,amb_0017,working,False,2.545952796936035,0.3178497850894928, not
ambiguity,amb_0018,working,False,2.6739742755889893,0.5581860542297363, Shin
ambiguity,amb_0019,working,False,3.003119945526123,0.26456767320632935, a
ambiguity,amb_0020,working,False,3.019925832748413,0.2309427112340927, 
ambiguity,amb_0021,working,False,0.8744735717773438,0.78462815284729, Meghan
ambiguity,amb_0022,working,False,1.4463167190551758,0.6989033222198486, T
ambiguity,amb_0023,working,False,2.3588614463806152,0.3514297902584076," """
ambiguity,amb_0024,working,False,2.423225164413452,0.163632333278656,:
ambiguity,amb_0025,working,False,2.3594460487365723,0.38730406761169434, a
ambiguity,amb_0026,working,False,3.7028703689575195,0.3228043019771576, Ar
ambiguity,amb_0027,working,False,1.8813252449035645,0.6477286219596863, Elaine
ambiguity,amb_0028,working,False,2.591080665588379,0.5235283970832825, Rod
ambiguity,amb_0029,working,False,2.0469510555267334,0.5000725388526917, 
ambiguity,amb_0030,working,False,1.3423449993133545,0.5465922355651855, Cristiano
ambiguity,amb_0031,working,False,2.5924174785614014,0.2651655673980713, not
ambiguity,amb_0032,working,False,0.7734093070030212,0.7512880563735962, the
ambiguity,amb_0033,working,False,0.3125807046890259,0.9496376514434814, Johnny
ambiguity,amb_0034,working,False,0.06319817155599594,0.9920816421508789, Benjamin
ambiguity,amb_0035,working,False,3.2133400440216064,0.14269918203353882, Paul
ambiguity,amb_0036,working,False,0.27980995178222656,0.956149697303772, Joe
ambiguity,amb_0037,working,False,2.2706377506256104,0.2931281328201294, a
ambiguity,amb_0038,working,False,1.907806158065796,0.5503026843070984, a
ambiguity,amb_0039,working,False,0.4548197090625763,0.8976051807403564, Amy
ambiguity,amb_0040,working,False,2.049222946166992,0.47096139192581177, a
ambiguity,amb_0041,working,False,0.4766418933868408,0.9048458933830261, American
ambiguity,amb_0042,working,False,3.4453678131103516,0.12374655902385712,:
ambiguity,amb_0043,working,False,2.176589012145996,0.3841998279094696, not
ambiguity,amb_0044,working,False,2.562283515930176,0.3696751594543457, a
ambiguity,amb_0045,working,False,2.8056182861328125,0.22283335030078888, Saint
ambiguity,amb_0046,working,False,1.8792414665222168,0.43458327651023865, Jeffrey
ambiguity,amb_0047,working,False,3.5664448738098145,0.1757456362247467, the
ambiguity,amb_0048,working,False,2.5035877227783203,0.38110023736953735, 
ambiguity,amb_0049,working,False,4.102269172668457,0.16889438033103943, not
ambiguity,amb_0050,working,False,0.5448554754257202,0.9203320145606995, Thur
ambiguity,amb_0051,working,False,2.2842979431152344,0.3175898790359497, a
ambiguity,amb_0052,working,False,2.544663667678833,0.3059062957763672, 
ambiguity,amb_0053,working,False,0.26553624868392944,0.9484477639198303, C
ambiguity,amb_0054,working,False,3.3073582649230957,0.20128417015075684, a
