category,prompt_id,split,is_control,entropy,top1_prob,top1_token
conflict,cq_00003_u,working,False,1.1744393110275269,0.7349219918251038, different
conflict,cq_00006_u,held_out,False,2.285781145095825,0.3403395712375641, not
conflict,cq_00007_u,working,False,1.8736848831176758,0.3928625285625458, different
conflict,cq_00011_u,working,False,2.111025094985962,0.27884623408317566, different
conflict,cq_00012_u,working,False,1.9382891654968262,0.49494680762290955, not
conflict,cq_00016_u,working,False,1.9829623699188232,0.3891841769218445, not
conflict,cq_00019_u,held_out,False,1.6952080726623535,0.3923375606536865, different
conflict,cq_00021_u,held_out,False,2.1224663257598877,0.478894978761673, not
conflict,cq_00022_u,held_out,False,2.3195807933807373,0.33631032705307007, not
conflict,cq_00024_u,working,False,2.097114086151123,0.4913397431373596, not
conflict,cq_00025_u,working,False,2.20334529876709,0.48809319734573364, not
conflict,cq_00027_u,held_out,False,2.4445090293884277,0.40490272641181946, not
conflict,cq_00030_u,working,False,1.8101537227630615,0.4467359781265259, not
conflict,cq_00031_u,working,False,1.6096880435943604,0.5587120652198792, different
conflict,cq_00032_u,working,False,2.4455196857452393,0.3275620639324188, not
conflict,cq_00033_u,working,False,1.8984858989715576,0.5063647031784058, not
conflict,cq_00036_u,working,False,2.2968530654907227,0.28554823994636536, not
conflict,cq_00039_u,held_out,False,1.9514714479446411,0.404000461101532, not
conflict,cq_00046_u,working,False,1.8083082437515259,0.4554108679294586, different
conflict,cq_00049_u,working,False,2.179063081741333,0.36344873905181885, not
conflict,cq_00050_u,held_out,False,1.8174643516540527,0.5964217185974121, not
conflict,cq_00057_u,working,False,1.717933177947998,0.5601834058761597, different
conflict,cq_00058_u,held_out,False,1.9899275302886963,0.49374523758888245, not
conflict,cq_00059_u,held_out,False,1.8574093580245972,0.40950149297714233, different
conflict,cq_00065_u,held_out,False,1.9341492652893066,0.32586419582366943, different
conflict,cq_00066_u,working,False,1.9852337837219238,0.3111177086830139, not
conflict,cq_00070_u,held_out,False,1.7019498348236084,0.5915578007698059, not
conflict,cq_00071_u,working,False,1.7673726081848145,0.573935329914093, different
conflict,cq_00073_u,held_out,False,1.910005807876587,0.5513740181922913, not
conflict,cq_00076_u,working,False,1.9209098815917969,0.5135185122489929, not
conflict,cq_00077_u,working,False,1.5466811656951904,0.6256054043769836, different
conflict,cq_00080_u,held_out,False,1.5344927310943604,0.6217100620269775, different
conflict,cq_00081_u,working,False,2.16923451423645,0.30447161197662354, not
conflict,cq_00085_u,working,False,2.1363065242767334,0.3325906991958618, not
conflict,cq_00086_u,working,False,1.646348476409912,0.44044461846351624, John
conflict,cq_00088_u,held_out,False,1.862247347831726,0.35192686319351196, not
conflict,cq_00089_u,working,False,1.6864426136016846,0.4622723162174225, different
conflict,cq_00091_u,working,False,1.9129078388214111,0.38529831171035767, different
conflict,cq_00092_u,working,False,1.2195208072662354,0.6092123985290527, Franco
conflict,cq_00093_u,held_out,False,1.4961202144622803,0.6141959428787231, Saint
conflict,cq_00094_u,held_out,False,2.656102180480957,0.3375580608844757, not
conflict,cq_00099_u,working,False,1.3089592456817627,0.6575018167495728, different
conflict,cq_00103_u,working,False,2.8167829513549805,0.24386024475097656, not
