neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split
L30_N1457,30,1457,lack_of_knowledge,lok_0000,3.908881902694702,3.928028106689453,0.019146203994750977,0.14724333584308624,0.14104028046131134,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0001,2.8249709606170654,2.822587728500366,-0.0023832321166992188,0.2386796474456787,0.23877957463264465,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0002,3.1003873348236084,3.1142923831939697,0.013905048370361328,0.2314060479402542,0.23846380412578583,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0003,2.249481439590454,2.2505695819854736,0.0010881423950195312,0.2636534869670868,0.2635364234447479,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0004,2.493800163269043,2.493800163269043,0.0,0.311267614364624,0.311267614364624,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0005,2.7805252075195312,2.8126413822174072,0.03211617469787598,0.3278445303440094,0.3153412640094757,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0006,2.244798183441162,2.2394907474517822,-0.005307435989379883,0.36405470967292786,0.3649502098560333,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0007,4.115026473999023,4.110737323760986,-0.004289150238037109,0.1506902426481247,0.15211807191371918,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0008,2.711564302444458,2.7366106510162354,0.025046348571777344,0.2988700866699219,0.2861694395542145,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0009,2.668410539627075,2.667642593383789,-0.0007679462432861328,0.3281840980052948,0.326163113117218,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0010,2.7420661449432373,2.71396541595459,-0.02810072898864746,0.23133890330791473,0.23802077770233154,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0011,1.8690134286880493,1.8685834407806396,-0.00042998790740966797,0.5327321887016296,0.5328667759895325,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0012,2.662747383117676,2.6616926193237305,-0.0010547637939453125,0.24309544265270233,0.24835707247257233,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0013,3.290672779083252,3.283644199371338,-0.0070285797119140625,0.28111976385116577,0.285759299993515,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0014,3.0893006324768066,3.082322835922241,-0.00697779655456543,0.16240721940994263,0.1629539579153061,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0015,2.6001811027526855,2.599360942840576,-0.000820159912109375,0.22337457537651062,0.22601597011089325,0.22265625,working
L30_N1457,30,1457,lack_of_knowledge,lok_0016,3.636564254760742,3.638488292694092,0.0019240379333496094,0.14686629176139832,0.1478014886379242,0.22265625,working
