neuron_id,layer,neuron_idx,category,prompt_id,orig_entropy,ablated_entropy,entropy_shift,orig_top1_prob,ablated_top1_prob,direct_effect_score,split
L24_N7891,24,7891,lack_of_knowledge,lok_0000,0.1869092732667923,0.18733720481395721,0.000427931547164917,0.9647209048271179,0.9646642208099365,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0001,0.523131251335144,0.4803805351257324,-0.04275071620941162,0.8820180296897888,0.8944363594055176,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0002,2.4877443313598633,2.492428779602051,0.0046844482421875,0.26991167664527893,0.2740781903266907,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0003,0.24606484174728394,0.24713122844696045,0.0010663866996765137,0.9553861021995544,0.9552160501480103,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0004,0.3862154483795166,0.38637828826904297,0.0001628398895263672,0.9116002917289734,0.9115869402885437,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0005,0.035800911486148834,0.03554243594408035,-0.00025847554206848145,0.9958550333976746,0.9958880543708801,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0006,0.2024208903312683,0.19930380582809448,-0.003117084503173828,0.9664145708084106,0.9669963121414185,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0007,0.358415424823761,0.35999760031700134,0.0015821754932403564,0.922963559627533,0.9227731823921204,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0008,0.4213981628417969,0.40678834915161133,-0.014609813690185547,0.9099994897842407,0.9144485592842102,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0009,0.2500009834766388,0.24997206032276154,-2.89231538772583e-05,0.9412488341331482,0.9412512183189392,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0010,0.2587895393371582,0.25874072313308716,-4.881620407104492e-05,0.94963538646698,0.9496397972106934,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0011,0.35979822278022766,0.36059683561325073,0.0007986128330230713,0.9187694191932678,0.9186664819717407,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0012,0.3523107171058655,0.3592466115951538,0.00693589448928833,0.9300392270088196,0.929033637046814,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0013,0.3526506721973419,0.3557928800582886,0.0031422078609466553,0.9295745491981506,0.9289748668670654,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0014,0.23355257511138916,0.23341429233551025,-0.00013828277587890625,0.9562920331954956,0.9563049077987671,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0015,0.4714905619621277,0.4848954677581787,0.013404905796051025,0.8925818204879761,0.8887857794761658,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0016,0.33000895380973816,0.3311483860015869,0.0011394321918487549,0.9349640607833862,0.9347626566886902,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0017,0.4290520250797272,0.37672334909439087,-0.052328675985336304,0.9063642024993896,0.9220519065856934,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0018,0.42220407724380493,0.42444148659706116,0.0022374093532562256,0.907741129398346,0.9074804782867432,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0019,0.21137763559818268,0.21133247017860413,-4.5165419578552246e-05,0.9632250070571899,0.9632306098937988,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0020,0.7808576226234436,0.7861006259918213,0.0052430033683776855,0.8196972012519836,0.818936824798584,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0021,0.5177964568138123,0.5189783573150635,0.0011819005012512207,0.8921740055084229,0.8920438289642334,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0022,0.6626487970352173,0.6065393090248108,-0.056109488010406494,0.8756300210952759,0.8886745572090149,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0023,0.2569446563720703,0.2559972107410431,-0.0009474456310272217,0.9547159671783447,0.9548277854919434,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0024,0.26626378297805786,0.26633375883102417,6.99758529663086e-05,0.9508506655693054,0.9508458375930786,0.130859375,working
L24_N7891,24,7891,lack_of_knowledge,lok_0025,0.09971508383750916,0.09814649075269699,-0.0015685930848121643,0.9859488010406494,0.98616623878479,0.130859375,working
