neuron_id,category,n_prompts,mean_shift,sd_shift,se_shift,dz,ci_lower,ci_upper,ci_excludes_zero,p_value_raw,tost_p,tost_p_dz0.1,significant_fdr,equivalent_at_sesoi,equivalent_at_sesoi_dz0.1,sesoi_dz_primary
L31_N3330,lack_of_knowledge,36,0.002890050411224353,0.011097575306268235,0.0018495958843780392,0.2604217886759433,0.0002227626740932413,0.007085294773181259,True,0.04944752762361882,0.6404322390837816,0.828806819093183,False,False,False,0.2
L20_N1001,ambiguity,36,-0.007207237804929396,0.023532731863092165,0.003922121977182028,-0.30626439152323626,-0.015723513894610915,-0.0006018190748161575,True,0.06034698265086746,0.7360538465768551,0.8879460243212994,False,False,False,0.2
L30_N13647,lack_of_knowledge,36,-0.004445830980936684,0.015435547228976111,0.0025725912048293518,-0.28802548526370514,-0.009823164509402363,0.00010127681824894977,False,0.08334583270836458,0.6996369039168633,0.8665352234466968,False,False,False,0.2
L23_N12855,contradictory_context,36,0.001466581960105246,0.005851661605982367,0.0009752769343303945,0.2506265841835259,-0.0002213690701561413,0.0035358147682725575,False,0.14679266036698166,0.6184451788314221,0.8138491919817428,False,False,False,0.2
L30_N13098,lack_of_knowledge,36,0.004395527972115407,0.01687500634298674,0.002812501057164457,0.2604756337731506,-0.0004178192052576299,0.01043736901548173,False,0.14819259037048146,0.640551852516791,0.8288867660761534,False,False,False,0.2
L20_N2742,lack_of_knowledge,36,0.0050609078672197196,0.02096757247312115,0.0034945954121868585,0.24136832595701874,-0.0015724046362770654,0.012034967955615785,False,0.1568921553922304,0.5972887338202068,0.7989575790560657,False,False,False,0.2
L30_N13647,contradictory_context,36,-0.0009902666529847592,0.004683495214948125,0.0007805825358246874,-0.21143752849883665,-0.002752809857742675,0.00014850863177947533,False,0.192140392980351,0.5271607234014477,0.7459396037474213,False,False,False,0.2
L30_N1457,ambiguity,36,0.005455267098214875,0.024697391635927022,0.00411623193932117,0.22088434190269546,-0.002635184178749719,0.013314924264947545,False,0.19949002549872508,0.5495008722383221,0.7634569065872752,False,False,False,0.2
L20_N1001,lack_of_knowledge,36,0.004777338769700785,0.024158691680425316,0.004026448613404219,0.19774824038056846,-0.0030657495061556504,0.012500014818376941,False,0.24443777811109443,0.49464859190236143,0.7193447293908293,False,False,False,0.2
L20_N12894,contradictory_context,36,0.002169451572828827,0.010954732342736634,0.001825788723789439,0.19803784382438594,-0.0011223282147612699,0.00585139509704377,False,0.2534373281335933,0.4953368124036832,0.7199216109363082,False,False,False,0.2
L20_N1399,contradictory_context,36,0.0022462841847704345,0.011888011043880528,0.001981335173980088,0.1889537431012677,-0.0013062221399094659,0.0062361704922901705,False,0.2782360881955902,0.4737670069090315,0.7015463985429202,False,False,False,0.2
L30_N13647,ambiguity,36,0.0017406706594758502,0.009727808216470079,0.0016213013694116798,0.17893760040712292,-0.0010374139890902616,0.005125784615261673,False,0.32043397830108494,0.4500793840405505,0.6806460016171074,False,False,False,0.2
L30_N10312,ambiguity,36,-0.000754540786147111,0.004718424171921895,0.0007864040286536491,-0.15991372514518415,-0.00220232907579176,0.0008085154669566301,False,0.35073246337683117,0.40566613477731384,0.6393029031959914,False,False,False,0.2
L30_N1777,contradictory_context,36,0.0027267803541488065,0.016847275325393082,0.002807879220898847,0.1618528991473691,-0.0022402042988687696,0.008303439835759069,False,0.352282385880706,0.4101461614103265,0.6436064450505057,False,False,False,0.2
L29_N11909,contradictory_context,36,0.003742681402299148,0.024306291876613345,0.0040510486461022245,0.15397994154345787,-0.003968129614885453,0.011762300278577529,False,0.3766311684415779,0.39203977879566326,0.6260216572155917,False,False,False,0.2
L30_N1777,lack_of_knowledge,36,-0.002004361814922744,0.013859215904436513,0.0023098693174060853,-0.14462303125540615,-0.006187579780816993,0.002664321909348167,False,0.4048297585120744,0.3708366709034636,0.6047637935614836,False,False,False,0.2
L31_N6772,lack_of_knowledge,36,-0.0021936794122060285,0.014246721060221734,0.0023744535100369557,-0.15397784535355297,-0.007420220722754798,0.0017405440409977945,False,0.4110294485275736,0.3920349883144102,0.626016936616919,False,False,False,0.2
L30_N13098,ambiguity,36,0.0013555110328727347,0.008744924457394368,0.001457487409565728,0.1550054593926843,-0.0011250519607629878,0.004427184930278177,False,0.4252787360631968,0.39438545693029303,0.6283287352039717,False,False,False,0.2
L29_N13925,contradictory_context,36,0.002349212765693649,0.01756551563115041,0.0029275859385250683,0.13374004014590907,-0.0028695193934254273,0.008314514671090144,False,0.4568771561421929,0.34668455295182476,0.5796276174498682,False,False,False,0.2
L28_N11622,contradictory_context,36,0.001784233376383775,0.012610285629519156,0.002101714271586526,0.14149032217058588,-0.0018036850340043481,0.006214000207061548,False,0.4913254337283136,0.3638246176867922,0.597569611519174,False,False,False,0.2
L30_N1457,contradictory_context,36,0.0021761107361978923,0.018632348709701832,0.003105391451616972,0.11679207866396335,-0.0034675134708070077,0.008717982018262968,False,0.49697515124243785,0.3103644180639911,0.5398390464135613,False,False,False,0.2
L30_N13098,contradictory_context,36,-0.001346095413383518,0.010528141569758525,0.0017546902616264208,-0.12785688760589037,-0.005180385984325158,0.0015890409342116673,False,0.5354732263386831,0.33388661533050973,0.5658895948050424,False,False,False,0.2
L20_N1399,lack_of_knowledge,36,0.0031979944970872637,0.03079031888447316,0.00513171981407886,0.1038636367842211,-0.006381983144415733,0.013320586333672179,False,0.5402229888505574,0.2838769983679066,0.509181548206782,False,False,False,0.2
L28_N11622,ambiguity,36,-0.0006530359387397741,0.006427751374771526,0.0010712918957952544,-0.10159632827475164,-0.0027509906639655176,0.0013941368502047211,False,0.5454227288635568,0.27935052878395294,0.5037938050530861,False,False,False,0.2
L30_N10312,lack_of_knowledge,36,-0.0020072029696570504,0.019298499111778913,0.003216416518629819,-0.10400824219702902,-0.008486022386285985,0.004071545766459565,False,0.5496225188740563,0.28416692795832954,0.5095251216665642,False,False,False,0.2
L20_N4769,contradictory_context,36,0.0015800377974907402,0.01464417986215679,0.0024406966436927983,0.10789527391519163,-0.0026571123369245144,0.006844098208886031,False,0.5511224438778061,0.2920151728700114,0.518756845142307,False,False,False,0.2
L28_N11622,lack_of_knowledge,36,-0.002602507670720407,0.025745376569782694,0.004290896094963782,-0.10108640919142609,-0.010950389752785353,0.006044373826848136,False,0.5524223788810559,0.2783375832857421,0.5025819623328548,False,False,False,0.2
L20_N4769,lack_of_knowledge,36,-0.0017035272386338915,0.021846136779526765,0.0036410227965877943,-0.07797842043314322,-0.008577461623483225,0.005477771245770969,False,0.6451177441127943,0.2344820125110706,0.4478192786086916,False,False,False,0.2
L31_N6772,contradictory_context,36,0.00044771268342931267,0.005587771648438386,0.000931295274739731,0.080123654221703,-0.0014252435804034214,0.002245520114795179,False,0.6456677166141693,0.23837860672284178,0.4528763992840604,False,False,False,0.2
